STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        721;20240303;    3;   0.0;   0;   0;   0;eor
        721;20240304;    3;   8.2;   4;   0;   0;eor
        721;20240305;    3;   2.1;   4;   0;   0;eor
        721;20240306;    3;   0.0;   0;   0;   0;eor
        721;20240307;    3;   0.0;   0;   0;   0;eor
        721;20240308;    3;   0.0;   0;   0;   0;eor
        721;20240309;    3;   0.0;   0;   0;   0;eor
        721;20240310;    3;   0.0;   0;   0;   0;eor
        721;20240311;    3;   0.0;   0;   0;   0;eor
        721;20240312;    3;   0.0;   0;   0;   0;eor
        721;20240313;    3;   0.7;   4;   0;   0;eor
        721;20240314;    3;   0.0;   0;   0;   0;eor
        721;20240315;    3;   0.0;   0;   0;   0;eor
        721;20240316;    3;   2.3;   4;   0;   0;eor
        721;20240317;    3;   0.0;   0;   0;   0;eor
        721;20240318;    3;   0.0;   0;   0;   0;eor
        721;20240319;    3;   0.0;   0;   0;   0;eor
        721;20240320;    3;   0.0;   0;   0;   0;eor
        721;20240321;    3;   0.1;   4;   0;   0;eor
        721;20240322;    3;   1.9;   4;   0;   0;eor
        721;20240323;    3;   9.2;   4;   0;   0;eor
        721;20240324;    3;   3.5;   4;   0;   0;eor
        721;20240325;    3;   0.0;   4;   0;   0;eor
        721;20240326;    3;   0.0;   0;   0;   0;eor
        721;20240327;    3;   0.6;   4;   0;   0;eor
        721;20240328;    3;   0.9;   4;   0;   0;eor
        721;20240329;    3;   0.3;   4;   0;   0;eor
        721;20240330;    3;   0.0;   0;   0;   0;eor
        721;20240331;    3;   0.0;   0;   0;   0;eor
        721;20240401;    3;   0.2;   4;   0;   0;eor
        721;20240402;    3;   0.5;   4;   0;   0;eor
        721;20240403;    3;   1.1;   4;   0;   0;eor
        721;20240404;    3;   2.0;   4;   0;   0;eor
        721;20240405;    3;   0.0;   4;   0;   0;eor
        721;20240406;    3;   0.0;   0;   0;   0;eor
        721;20240407;    3;   0.0;   0;   0;   0;eor
        721;20240408;    3;   0.0;   0;   0;   0;eor
        721;20240409;    3;   1.1;   4;   0;   0;eor
        721;20240410;    3;   0.0;   0;   0;   0;eor
        721;20240411;    3;   0.0;   0;   0;   0;eor
        721;20240412;    3;   0.0;   0;   0;   0;eor
        721;20240413;    3;   0.0;   0;   0;   0;eor
        721;20240414;    3;   3.8;   4;   0;   0;eor
        721;20240415;    3;   3.2;   4;   0;   0;eor
        721;20240416;    3;   0.7;   4;   0;   0;eor
        721;20240417;    3;   1.4;   4;   0;   0;eor
        721;20240418;    3;   0.3;   4;   0;   0;eor
        721;20240419;    3;  13.3;   4;   0;   0;eor
        721;20240420;    3;   4.1;   4;   0;   0;eor
        721;20240421;    3;   0.0;   4;   0;   0;eor
        721;20240422;    3;   0.0;   0;   0;   0;eor
        721;20240423;    3;   0.0;   0;   0;   0;eor
        721;20240424;    3;   4.8;   4;   0;   0;eor
        721;20240425;    3;   2.0;   4;   0;   0;eor
        721;20240426;    3;   0.0;   0;   0;   0;eor
        721;20240427;    3;   0.0;   0;   0;   0;eor
        721;20240428;    3;   0.1;   4;   0;   0;eor
        721;20240429;    3;   0.0;   0;   0;   0;eor
        721;20240430;    3;   0.0;   0;   0;   0;eor
        721;20240501;    3;   0.0;   0;-999;-999;eor
        721;20240502;    3;   0.0;   0;-999;-999;eor
        721;20240503;    3;   0.6;   4;-999;-999;eor
        721;20240504;    3;   0.0;   4;-999;-999;eor
        721;20240505;    3;   0.9;   4;-999;-999;eor
        721;20240506;    3;   0.0;   0;-999;-999;eor
        721;20240507;    3;   0.0;   4;-999;-999;eor
        721;20240508;    3;   0.0;   0;-999;-999;eor
        721;20240509;    3;   0.0;   0;-999;-999;eor
        721;20240510;    3;   0.0;   0;-999;-999;eor
        721;20240511;    3;   0.0;   0;-999;-999;eor
        721;20240512;    3;   0.0;   0;-999;-999;eor
        721;20240513;    3;   0.0;   0;-999;-999;eor
        721;20240514;    3;   0.0;   0;-999;-999;eor
        721;20240515;    3;   0.0;   0;-999;-999;eor
        721;20240516;    3;   0.0;   0;-999;-999;eor
        721;20240517;    3;   0.0;   0;-999;-999;eor
        721;20240518;    3;   1.0;   4;-999;-999;eor
        721;20240519;    3;   6.6;   4;-999;-999;eor
        721;20240520;    3;   0.3;   4;-999;-999;eor
        721;20240521;    3;   3.1;   4;-999;-999;eor
        721;20240522;    3;   4.3;   4;-999;-999;eor
        721;20240523;    3;   0.0;   0;-999;-999;eor
        721;20240524;    3;   3.7;   4;-999;-999;eor
        721;20240525;    3;   0.5;   4;-999;-999;eor
        721;20240526;    3;   0.0;   0;-999;-999;eor
        721;20240527;    3;   4.6;   4;-999;-999;eor
        721;20240528;    3;   7.8;   4;-999;-999;eor
        721;20240529;    3;   0.3;   4;-999;-999;eor
        721;20240530;    3;  20.1;   4;-999;-999;eor
        721;20240531;    3;   0.4;   4;-999;-999;eor
        721;20240601;    3;  17.0;   4;-999;-999;eor
        721;20240602;    3;   0.0;   0;-999;-999;eor
        721;20240603;    3;   0.0;   0;-999;-999;eor
        721;20240604;    3;   0.0;   0;-999;-999;eor
        721;20240605;    3;   0.5;   4;-999;-999;eor
        721;20240606;    3;   0.0;   0;-999;-999;eor
        721;20240607;    3;   0.0;   0;-999;-999;eor
        721;20240608;    3;   0.0;   0;-999;-999;eor
        721;20240609;    3;   0.0;   0;-999;-999;eor
        721;20240610;    3;   0.4;   4;-999;-999;eor
        721;20240611;    3;   0.0;   0;-999;-999;eor
        721;20240612;    3;   0.0;   4;-999;-999;eor
        721;20240613;    3;   2.9;   4;-999;-999;eor
        721;20240614;    3;   0.6;   4;-999;-999;eor
        721;20240615;    3;   4.6;   4;-999;-999;eor
        721;20240616;    3;   0.3;   4;-999;-999;eor
        721;20240617;    3;   0.0;   0;-999;-999;eor
        721;20240618;    3;  12.2;   4;-999;-999;eor
        721;20240619;    3;   3.5;   4;-999;-999;eor
        721;20240620;    3;   0.0;   4;-999;-999;eor
        721;20240621;    3;  29.4;   4;-999;-999;eor
        721;20240622;    3;   1.3;   4;-999;-999;eor
        721;20240623;    3;   0.0;   0;-999;-999;eor
        721;20240624;    3;   0.0;   0;-999;-999;eor
        721;20240625;    3;   0.0;   0;-999;-999;eor
        721;20240626;    3;   0.4;   4;-999;-999;eor
        721;20240627;    3;   0.0;   0;-999;-999;eor
        721;20240628;    3;   0.0;   0;-999;-999;eor
        721;20240629;    3;  13.1;   4;-999;-999;eor
        721;20240630;    3;   3.7;   4;-999;-999;eor
        721;20240701;    3;   4.1;   4;-999;-999;eor
        721;20240702;    3;   3.3;   4;-999;-999;eor
        721;20240703;    3;   0.0;   0;-999;-999;eor
        721;20240704;    3;   4.1;   4;-999;-999;eor
        721;20240705;    3;   0.0;   0;-999;-999;eor
        721;20240706;    3;   5.0;   4;-999;-999;eor
        721;20240707;    3;   0.0;   0;-999;-999;eor
        721;20240708;    3;   0.0;   0;-999;-999;eor
        721;20240709;    3;   0.0;   0;-999;-999;eor
        721;20240710;    3;   3.8;   4;-999;-999;eor
        721;20240711;    3;  18.1;   4;-999;-999;eor
        721;20240712;    3;  27.8;   4;-999;-999;eor
        721;20240713;    3;   0.0;   0;-999;-999;eor
        721;20240714;    3;   0.1;   4;-999;-999;eor
        721;20240715;    3;   0.0;   0;-999;-999;eor
        721;20240716;    3;   0.0;   0;-999;-999;eor
        721;20240717;    3;   0.0;   0;-999;-999;eor
        721;20240718;    3;   0.0;   0;-999;-999;eor
        721;20240719;    3;   0.0;   0;-999;-999;eor
        721;20240720;    3;   0.0;   0;-999;-999;eor
        721;20240721;    3;   0.1;   4;-999;-999;eor
        721;20240722;    3;   0.0;   0;-999;-999;eor
        721;20240723;    3;   7.3;   4;-999;-999;eor
        721;20240724;    3;   0.0;   0;-999;-999;eor
        721;20240725;    3;   0.0;   0;-999;-999;eor
        721;20240726;    3;   4.3;   4;-999;-999;eor
        721;20240727;    3;   7.8;   4;-999;-999;eor
        721;20240728;    3;   0.0;   0;-999;-999;eor
        721;20240729;    3;   0.0;   0;-999;-999;eor
        721;20240730;    3;   0.0;   0;-999;-999;eor
        721;20240731;    3;   0.0;   0;-999;-999;eor
        721;20240801;    3;  31.3;   4;-999;-999;eor
        721;20240802;    3;   4.7;   4;-999;-999;eor
        721;20240803;    3;   1.8;   4;-999;-999;eor
        721;20240804;    3;   9.1;   4;-999;-999;eor
        721;20240805;    3;   0.0;   0;-999;-999;eor
        721;20240806;    3;   0.0;   0;-999;-999;eor
        721;20240807;    3;   0.0;   0;-999;-999;eor
        721;20240808;    3;   0.0;   0;-999;-999;eor
        721;20240809;    3;   0.7;   4;-999;-999;eor
        721;20240810;    3;   0.0;   4;-999;-999;eor
        721;20240811;    3;   0.0;   0;-999;-999;eor
        721;20240812;    3;   0.0;   0;-999;-999;eor
        721;20240813;    3;   0.0;   0;-999;-999;eor
        721;20240814;    3;   3.5;   4;-999;-999;eor
        721;20240815;    3;   0.0;   0;-999;-999;eor
        721;20240816;    3;   0.0;   0;-999;-999;eor
        721;20240817;    3;   0.0;   0;-999;-999;eor
        721;20240818;    3;   0.1;   4;-999;-999;eor
        721;20240819;    3;   0.0;   0;-999;-999;eor
        721;20240820;    3;   0.2;   4;-999;-999;eor
        721;20240821;    3;   0.0;   0;-999;-999;eor
        721;20240822;    3;   0.0;   0;-999;-999;eor
        721;20240823;    3;   0.0;   0;-999;-999;eor
        721;20240824;    3;   1.3;   4;-999;-999;eor
        721;20240825;    3;   0.4;   4;-999;-999;eor
        721;20240826;    3;   0.0;   0;-999;-999;eor
        721;20240827;    3;   0.0;   0;-999;-999;eor
        721;20240828;    3;   0.0;   0;-999;-999;eor
        721;20240829;    3;   0.0;   0;-999;-999;eor
        721;20240830;    3;   0.2;   4;-999;-999;eor
        721;20240831;    3;   0.0;   0;-999;-999;eor
        721;20240901;    3;   0.0;   0;-999;-999;eor
        721;20240902;    3;   0.0;   0;-999;-999;eor
        721;20240903;    3;   0.0;   0;-999;-999;eor
        721;20240904;    3;   0.0;   0;-999;-999;eor
        721;20240905;    3;   0.0;   0;-999;-999;eor
        721;20240906;    3;   0.0;   0;-999;-999;eor
        721;20240907;    3;   0.0;   0;-999;-999;eor
        721;20240908;    3;   8.1;   4;-999;-999;eor
        721;20240909;    3;  13.7;   4;-999;-999;eor
        721;20240910;    3;   0.0;   0;-999;-999;eor
        721;20240911;    3;   1.0;   4;-999;-999;eor
        721;20240912;    3;   0.0;   0;-999;-999;eor
        721;20240913;    3;   6.3;   4;-999;-999;eor
        721;20240914;    3;   0.0;   0;-999;-999;eor
        721;20240915;    3;   7.0;   4;-999;-999;eor
        721;20240916;    3;   5.7;   4;-999;-999;eor
        721;20240917;    3;   0.0;   0;-999;-999;eor
        721;20240918;    3;   0.1;   4;-999;-999;eor
        721;20240919;    3;   0.0;   0;-999;-999;eor
        721;20240920;    3;   0.0;   0;-999;-999;eor
        721;20240921;    3;   0.0;   0;-999;-999;eor
        721;20240922;    3;   0.0;   0;-999;-999;eor
        721;20240923;    3;   8.5;   4;-999;-999;eor
        721;20240924;    3;  10.4;   4;-999;-999;eor
        721;20240925;    3;   0.1;   4;-999;-999;eor
        721;20240926;    3;   2.7;   4;-999;-999;eor
        721;20240927;    3;   0.0;   0;-999;-999;eor
        721;20240928;    3;   0.0;   0;-999;-999;eor
        721;20240929;    3;   0.0;   0;-999;-999;eor
        721;20240930;    3;   4.0;   4;-999;-999;eor
        721;20241001;    3;   1.9;   4;   0;   0;eor
        721;20241002;    3;   0.5;   4;   0;   0;eor
        721;20241003;    3;   0.8;   4;   0;   0;eor
        721;20241004;    3;   0.3;   4;   0;   0;eor
        721;20241005;    3;   0.5;   4;   0;   0;eor
        721;20241006;    3;   0.0;   0;   0;   0;eor
        721;20241007;    3;   2.2;   4;   0;   0;eor
        721;20241008;    3;  12.2;   4;   0;   0;eor
        721;20241009;    3;   0.5;   4;   0;   0;eor
        721;20241010;    3;   0.7;   4;   0;   0;eor
        721;20241011;    3;   0.0;   0;   0;   0;eor
        721;20241012;    3;   2.6;   4;   0;   0;eor
        721;20241013;    3;   0.0;   4;   0;   0;eor
        721;20241014;    3;   0.0;   0;   0;   0;eor
        721;20241015;    3;   0.0;   0;   0;   0;eor
        721;20241016;    3;   0.0;   0;   0;   0;eor
        721;20241017;    3;   0.0;   0;   0;   0;eor
        721;20241018;    3;   0.0;   0;   0;   0;eor
        721;20241019;    3;   0.0;   0;   0;   0;eor
        721;20241020;    3;   0.0;   0;   0;   0;eor
        721;20241021;    3;   0.0;   0;   0;   0;eor
        721;20241022;    3;   0.0;   0;   0;   0;eor
        721;20241023;    3;   0.0;   0;   0;   0;eor
        721;20241024;    3;   0.0;   0;   0;   0;eor
        721;20241025;    3;   0.0;   0;   0;   0;eor
        721;20241026;    3;   0.0;   0;   0;   0;eor
        721;20241027;    3;   0.1;   4;   0;   0;eor
        721;20241028;    3;   0.0;   0;   0;   0;eor
        721;20241029;    3;   2.0;   4;   0;   0;eor
        721;20241030;    3;   1.2;   4;   0;   0;eor
        721;20241031;    3;   0.0;   4;   0;   0;eor
        721;20241101;    3;   0.6;   4;   0;   0;eor
        721;20241102;    3;   0.0;   4;   0;   0;eor
        721;20241103;    3;   0.0;   0;   0;   0;eor
        721;20241104;    3;   0.0;   0;   0;   0;eor
        721;20241105;    3;   0.0;   0;   0;   0;eor
        721;20241106;    3;   0.0;   0;   0;   0;eor
        721;20241107;    3;   0.0;   4;   0;   0;eor
        721;20241108;    3;   0.0;   0;   0;   0;eor
        721;20241109;    3;   0.0;   0;   0;   0;eor
        721;20241110;    3;   0.0;   0;   0;   0;eor
        721;20241111;    3;   1.0;   4;   0;   0;eor
        721;20241112;    3;   0.4;   4;   0;   0;eor
        721;20241113;    3;   0.1;   4;   0;   0;eor
        721;20241114;    3;   1.2;   4;   0;   0;eor
        721;20241115;    3;   0.0;   0;   0;   0;eor
        721;20241116;    3;   0.3;   4;   0;   0;eor
        721;20241117;    3;   8.2;   4;   0;   0;eor
        721;20241118;    3;   0.7;   4;   0;   0;eor
        721;20241119;    3;  10.2;   4;   0;   0;eor
        721;20241120;    3;   1.2;   4;   0;   0;eor
        721;20241121;    3;   0.3;   4;   0;   0;eor
        721;20241122;    3;   0.5;   4;   0;   0;eor
        721;20241123;    3;   4.5;   4;   0;   0;eor
        721;20241124;    3;   1.8;   4;   0;   0;eor
        721;20241125;    3;   2.5;   4;   0;   0;eor
        721;20241126;    3;   0.0;   4;   0;   0;eor
        721;20241127;    3;   0.4;   4;   0;   0;eor
        721;20241128;    3;   5.1;   4;   0;   0;eor
        721;20241129;    3;   0.0;   4;   0;   0;eor
        721;20241130;    3;   0.0;   0;   0;   0;eor
        721;20241201;    3;   0.0;   0;   0;   0;eor
        721;20241202;    3;   0.1;   4;   0;   0;eor
        721;20241203;    3;   0.4;   4;   0;   0;eor
        721;20241204;    3;   1.4;   4;   0;   0;eor
        721;20241205;    3;   5.1;   4;   0;   0;eor
        721;20241206;    3;   3.6;   4;   0;   0;eor
        721;20241207;    3;   4.7;   4;   0;   0;eor
        721;20241208;    3;   0.2;   4;   0;   0;eor
        721;20241209;    3;   1.1;   4;   0;   0;eor
        721;20241210;    3;   0.0;   0;   0;   0;eor
        721;20241211;    3;   0.0;   0;   0;   0;eor
        721;20241212;    3;   0.0;   0;   0;   0;eor
        721;20241213;    3;   0.0;   0;   0;   0;eor
        721;20241214;    3;   0.7;   4;   0;   0;eor
        721;20241215;    3;   1.1;   4;   0;   0;eor
        721;20241216;    3;   0.1;   4;   0;   0;eor
        721;20241217;    3;   0.0;   0;   0;   0;eor
        721;20241218;    3;   0.1;   4;   0;   0;eor
        721;20241219;    3;   3.7;   4;   0;   0;eor
        721;20241220;    3;   0.0;   0;   0;   0;eor
        721;20241221;    3;   0.8;   4;   0;   0;eor
        721;20241222;    3;   6.9;   4;   0;   0;eor
        721;20241223;    3;   0.4;   4;   0;   0;eor
        721;20241224;    3;   0.0;   0;   0;   0;eor
        721;20241225;    3;   0.0;   0;   0;   0;eor
        721;20241226;    3;   0.0;   0;   0;   0;eor
        721;20241227;    3;   0.0;   0;   0;   0;eor
        721;20241228;    3;   0.0;   0;   0;   0;eor
        721;20241229;    3;   0.0;   0;   0;   0;eor
        721;20241230;    3;   0.0;   0;   0;   0;eor
        721;20241231;    3;   0.0;   0;   0;   0;eor
        721;20250101;    3;   0.2;   4;   0;   0;eor
        721;20250102;    3;   0.1;   4;   0;   0;eor
        721;20250103;    3;   1.5;   4;   0;   0;eor
        721;20250104;    3;   0.0;   0;   1;   1;eor
        721;20250105;    3;  12.5;   4;   1;   0;eor
        721;20250106;    3;   0.0;   0;   0;   0;eor
        721;20250107;    3;   1.8;   4;   0;   0;eor
        721;20250108;    3;   2.2;   4;   0;   0;eor
        721;20250109;    3;  10.6;   4;   0;   0;eor
        721;20250110;    3;   0.7;   4;   0;   0;eor
        721;20250111;    3;   0.0;   0;   0;   0;eor
        721;20250112;    3;   0.0;   0;   0;   0;eor
        721;20250113;    3;   0.0;   0;   0;   0;eor
        721;20250114;    3;   0.8;   4;   0;   0;eor
        721;20250115;    3;   0.3;   4;   0;   0;eor
        721;20250116;    3;   0.0;   0;   0;   0;eor
        721;20250117;    3;   0.0;   0;   0;   0;eor
        721;20250118;    3;   0.0;   0;   0;   0;eor
        721;20250119;    3;   0.0;   0;   0;   0;eor
        721;20250120;    3;   0.0;   0;   0;   0;eor
        721;20250121;    3;   0.0;   0;   0;   0;eor
        721;20250122;    3;   0.3;   4;   0;   0;eor
        721;20250123;    3;   2.1;   4;   0;   0;eor
        721;20250124;    3;   0.4;   4;   0;   0;eor
        721;20250125;    3;   0.4;   4;   0;   0;eor
        721;20250126;    3;   0.6;   4;   0;   0;eor
        721;20250127;    3;   0.8;   4;   0;   0;eor
        721;20250128;    3;   3.4;   4;   0;   0;eor
        721;20250129;    3;   0.0;   0;   0;   0;eor
        721;20250130;    3;   2.9;   4;   0;   0;eor
        721;20250131;    3;   0.0;   0;   0;   0;eor
        721;20250201;    3;   0.0;   0;   0;   0;eor
        721;20250202;    3;   0.0;   0;   0;   0;eor
        721;20250203;    3;   0.0;   0;   0;   0;eor
        721;20250204;    3;   0.0;   0;   0;   0;eor
        721;20250205;    3;   0.0;   0;   0;   0;eor
        721;20250206;    3;   0.0;   0;   0;   0;eor
        721;20250207;    3;   0.0;   0;   0;   0;eor
        721;20250208;    3;   0.0;   0;   0;   0;eor
        721;20250209;    3;   0.0;   0;   0;   0;eor
        721;20250210;    3;   0.0;   0;   0;   0;eor
        721;20250211;    3;   0.0;   0;   0;   0;eor
        721;20250212;    3;   1.0;   4;   0;   0;eor
        721;20250213;    3;   2.1;   4;   2;   2;eor
        721;20250214;    3;   0.1;   4;   5;   3;eor
        721;20250215;    3;   0.1;   4;   2;   0;eor
        721;20250216;    3;   0.0;   0;   1;   0;eor
        721;20250217;    3;   0.0;   0;   0;   0;eor
        721;20250218;    3;   0.0;   0;   0;   0;eor
        721;20250219;    3;   0.0;   0;   0;   0;eor
        721;20250220;    3;   0.1;   4;   0;   0;eor
        721;20250221;    3;   0.0;   0;   0;   0;eor
        721;20250222;    3;   0.0;   0;   0;   0;eor
        721;20250223;    3;   0.0;   0;   0;   0;eor
        721;20250224;    3;   4.3;   4;   0;   0;eor
        721;20250225;    3;   2.7;   4;   0;   0;eor
        721;20250226;    3;   5.1;   4;   0;   0;eor
        721;20250227;    3;   0.5;   4;   0;   0;eor
        721;20250228;    3;   1.4;   4;   0;   0;eor
        721;20250301;    3;   0.0;   0;   0;   0;eor
        721;20250302;    3;   0.0;   0;   0;   0;eor
        721;20250303;    3;   0.0;   0;   0;   0;eor
        721;20250304;    3;   0.0;   0;   0;   0;eor
        721;20250305;    3;   0.0;   0;   0;   0;eor
        721;20250306;    3;   0.0;   0;   0;   0;eor
        721;20250307;    3;   0.0;   0;   0;   0;eor
        721;20250308;    3;   0.0;   0;   0;   0;eor
        721;20250309;    3;   0.0;   0;   0;   0;eor
        721;20250310;    3;   0.0;   0;   0;   0;eor
        721;20250311;    3;   0.2;   4;   0;   0;eor
        721;20250312;    3;   7.0;   4;   0;   0;eor
        721;20250313;    3;   0.0;   0;   0;   0;eor
        721;20250314;    3;   0.3;   4;   0;   0;eor
        721;20250315;    3;   0.0;   0;   0;   0;eor
        721;20250316;    3;   0.1;   4;   0;   0;eor
        721;20250317;    3;   0.0;   0;   0;   0;eor
        721;20250318;    3;   0.0;   0;   0;   0;eor
        721;20250319;    3;   0.0;   0;   0;   0;eor
        721;20250320;    3;   0.0;   0;   0;   0;eor
        721;20250321;    3;   0.0;   0;   0;   0;eor
        721;20250322;    3;   0.0;   0;   0;   0;eor
        721;20250323;    3;   0.0;   0;   0;   0;eor
        721;20250324;    3;   0.0;   0;   0;   0;eor
        721;20250325;    3;   0.0;   4;   0;   0;eor
        721;20250326;    3;   0.4;   4;   0;   0;eor
        721;20250327;    3;   0.0;   0;   0;   0;eor
        721;20250328;    3;   0.0;   0;   0;   0;eor
        721;20250329;    3;   0.0;   0;   0;   0;eor
        721;20250330;    3;   6.6;   4;   0;   0;eor
        721;20250331;    3;   1.7;   4;   0;   0;eor
        721;20250401;    3;   0.1;   4;   0;   0;eor
        721;20250402;    3;   0.0;   0;   0;   0;eor
        721;20250403;    3;   0.0;   0;   0;   0;eor
        721;20250404;    3;   0.0;   0;   0;   0;eor
        721;20250405;    3;   0.0;   0;   0;   0;eor
        721;20250406;    3;   0.0;   0;   0;   0;eor
        721;20250407;    3;   0.0;   0;   0;   0;eor
        721;20250408;    3;   0.0;   0;   0;   0;eor
        721;20250409;    3;   0.0;   0;   0;   0;eor
        721;20250410;    3;   0.0;   0;   0;   0;eor
        721;20250411;    3;   0.0;   0;   0;   0;eor
        721;20250412;    3;   0.0;   0;   0;   0;eor
        721;20250413;    3;   0.3;   4;   0;   0;eor
        721;20250414;    3;   0.0;   0;   0;   0;eor
        721;20250415;    3;   0.3;   4;   0;   0;eor
        721;20250416;    3;   0.0;   0;   0;   0;eor
        721;20250417;    3;   0.0;   0;   0;   0;eor
        721;20250418;    3;  20.0;   4;   0;   0;eor
        721;20250419;    3;   3.8;   4;   0;   0;eor
