STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
      17467;20240303;    3;   0.0;   0;-999;-999;eor
      17467;20240304;    3;   0.0;   0;-999;-999;eor
      17467;20240305;    3;   0.0;   0;-999;-999;eor
      17467;20240306;    3;   0.0;   0;-999;-999;eor
      17467;20240307;    3;   0.0;   0;-999;-999;eor
      17467;20240308;    3;   0.0;   0;-999;-999;eor
      17467;20240309;    3;   0.0;   0;-999;-999;eor
      17467;20240310;    3;   0.0;   0;-999;-999;eor
      17467;20240311;    3;   0.0;   0;-999;-999;eor
      17467;20240312;    3;   0.0;   0;-999;-999;eor
      17467;20240313;    3;   0.3;   4;-999;-999;eor
      17467;20240314;    3;   0.0;   0;-999;-999;eor
      17467;20240315;    3;   0.0;   0;-999;-999;eor
      17467;20240316;    3;   1.1;   4;-999;-999;eor
      17467;20240317;    3;   0.0;   0;-999;-999;eor
      17467;20240318;    3;   0.0;   0;-999;-999;eor
      17467;20240319;    3;   0.0;   0;-999;-999;eor
      17467;20240320;    3;   0.9;   4;-999;-999;eor
      17467;20240321;    3;   5.9;   4;-999;-999;eor
      17467;20240322;    3;   7.9;   4;-999;-999;eor
      17467;20240323;    3;   9.2;   4;-999;-999;eor
      17467;20240324;    3;   6.6;   4;-999;-999;eor
      17467;20240325;    3;   1.0;   4;-999;-999;eor
      17467;20240326;    3;   0.0;   0;-999;-999;eor
      17467;20240327;    3;   0.0;   0;-999;-999;eor
      17467;20240328;    3;   0.0;   0;-999;-999;eor
      17467;20240329;    3;   0.1;   4;-999;-999;eor
      17467;20240330;    3;   0.0;   0;-999;-999;eor
      17467;20240331;    3;   0.0;   0;-999;-999;eor
      17467;20240401;    3;   0.0;   0;-999;-999;eor
      17467;20240402;    3;   4.0;   4;-999;-999;eor
      17467;20240403;    3;   2.9;   4;-999;-999;eor
      17467;20240404;    3;   2.5;   4;-999;-999;eor
      17467;20240405;    3;   0.1;   4;-999;-999;eor
      17467;20240406;    3;   0.0;   0;-999;-999;eor
